feature_idx,importance
937,0.04223811
938,0.035783194
939,0.048716348
940,0.04886024
941,0.08302362
942,0.06361153
943,0.056314107
944,0.04680465
945,0.079497844
946,0.046310488
947,0.091551036
948,0.041567463
949,0.04483897
950,0.045824066
951,0.051542737
952,0.061721303
953,0.05608363
954,0.053191762
955,0.059959117
956,0.07011725
957,0.054052275
958,0.049170688
959,0.045985952
960,0.041634995
961,0.045679957
962,0.0669193
963,0.0533606
964,0.046648487
965,0.05776941
966,0.04090452
967,0.05080853
968,0.0609626
969,0.09213032
970,0.037781578
971,0.03860106
972,0.047921605
973,0.0387426
974,0.0490206
975,0.04103511
976,0.04040611
977,0.045971986
978,0.060540844
979,0.07316194
980,0.08810491
981,0.053770848
982,0.08470706
983,0.07587402
984,0.051136985
985,0.050556995
986,0.032616083
987,0.08583843
988,0.056554407
989,0.06646181
990,0.039654233
991,0.045883644
992,0.044722904
993,0.042060133
994,0.05227179
995,0.045847207
996,0.046485826
997,0.06038989
998,0.08214296
999,0.056971494
1000,0.07631338
1001,0.058218453
1002,0.054778393
1003,0.075032085
1004,0.060644295
1005,0.03989454
1006,0.06733512
1007,0.044851538
1008,0.05030705
1009,0.07258524
1010,0.057781056
1011,0.04280972
1012,0.070251614
1013,0.059786193
1014,0.04599655
1015,0.04310836
1016,0.05224281
1017,0.06558838
1018,0.046904974
1019,0.041268475
1020,0.053337544
1021,0.04481555
1022,0.048567075
1023,0.05002635
1024,0.058414124
1025,0.039928123
1026,0.04161873
1027,0.051917836
1028,0.099927925
1029,0.046978667
1030,0.06357794
1031,0.041839045
1032,0.092839286
1033,0.03863433
1034,0.0518764
1035,0.07368172
1036,0.048998132
1037,0.08389596
1038,0.10304119
1039,0.047121927
1040,0.06667969
1041,0.05805842
1042,0.09899564
1043,0.0669051
1044,0.04809319
1045,0.05039149
1046,0.0530475
1047,0.05953927
1048,0.06700891
1049,0.053555086
1050,0.04387727
1051,0.08279014
1052,0.05070979
1053,0.048170038
1054,0.044998772
1055,0.09387722
1056,0.08147708
1057,0.05316476
1058,0.06304486
1059,0.056921046
1060,0.06290096
1061,0.05055916
1062,0.060203295
1063,0.058494404
1064,0.046994157
1065,0.052162122
1066,0.037156936
1067,0.05501593
1068,0.028190542
1069,0.05844482
1070,0.04496036
1071,0.04390912
1072,0.059415717
1073,0.0511217
1074,0.07110081
1075,0.05151269
1076,0.038839743
1077,0.054463778
1078,0.03373562
1079,0.049436443
1080,0.045569476
1081,0.0600027
1082,0.080109395
1083,0.06766738
1084,0.046237905
1085,0.06764978
1086,0.06609067
1087,0.039218284
1088,0.04031946
1089,0.05506705
1090,0.035817504
